residence_icb_code,residence_icb_name,provider_icb_code,provider_icb_name,age_group_admission,gender,ethnic_category_2,imd_quintile,provider_type,legal_status_group,lda_flag,der_ward_type_desc_first,oap_flag,spell_count,bed_days,bed_days_exHL,bed_days_delayed_days
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,White,2,NHS,Not formally detained,No,Adult Mental Health Ward,0,9,63,50,0
AT7,AT7: Anytown ICB_7,AT1,AT1: Anytown ICB_1,25-64,2,NA,1,NHS,Formally detained,No,Adult Mental Health Ward,1,1,120,113,0
AT32,AT32: Anytown ICB_32,AT1,AT1: Anytown ICB_1,25-64,1,Other ethnic groups,3,NHS,Formally detained,No,Adult Mental Health Ward,1,1,11,12,0
AT10,AT10: Anytown ICB_10,AT1,AT1: Anytown ICB_1,65+,2,White,5,NHS,Formally detained,No,Adult Mental Health Ward,1,1,46,46,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,Asian or Asian British,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,3,74,76,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,Other ethnic groups,2,NHS,Formally detained,No,Adult Mental Health Ward,0,1,35,35,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,NA,4,NHS,Not formally detained,No,Adult Mental Health Ward,0,11,353,365,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Other ethnic groups,3,NHS,Formally detained,Yes,Adult Mental Health Ward,0,2,117,113,19
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,2,7,7,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,3,NHS,Not formally detained,No,Adult Mental Health Ward,0,6,208,192.5,0
AT19,AT19: Anytown ICB_19,AT1,AT1: Anytown ICB_1,25-64,2,NA,5,NHS,Formally detained,No,Adult Mental Health Ward,1,1,34,34,0
AT1,AT1: Anytown ICB_1,AT16,AT16: Anytown ICB_16,25-64,1,Other ethnic groups,2,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,4,5,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,Other ethnic groups,5,NHS,Formally detained,No,Adult Mental Health Ward,0,1,61,61,0
AT1,AT1: Anytown ICB_1,AT31,AT31: Anytown ICB_31,65+,2,White,4,NHS,Formally detained,No,Adult Mental Health Ward,1,1,1,0.5,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,NA,1,NHS,Formally detained,No,Adult Mental Health Ward,0,3,379,357,0
AT13,AT13: Anytown ICB_13,AT1,AT1: Anytown ICB_1,25-64,2,NA,NA,NHS,Formally detained,No,Adult Mental Health Ward,1,1,2,3,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,NA,5,NHS,Not formally detained,No,Adult Mental Health Ward,0,4,498,465,12
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,Asian or Asian British,2,NHS,Formally detained,Yes,Adult Mental Health Ward,0,1,31,30,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,1,NHS,Formally detained,No,Adult Mental Health Ward,0,7,933,1032,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,Mixed,1,NHS,Not formally detained,No,Learning Disabilities Ward,0,1,221,236,0
AT1,AT1: Anytown ICB_1,AT9,AT9: Anytown ICB_9,25-64,2,NA,2,Independent,Not formally detained,No,NA,1,1,33,33,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,White,5,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,8,841,811,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,NA,2,NHS,Formally detained,No,Adult Mental Health Ward,0,6,98,94,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,1,NHS,Formally detained,No,Adult Mental Health Ward,0,2,61,61,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,1,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,5,417,381,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,2,Other ethnic groups,2,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,1,34,35,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,1,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,3,94.5,82,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,Asian or Asian British,2,NHS,Formally detained,Yes,Adult Mental Health Ward,0,3,457,489,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,3,NHS,Formally detained,Yes,Adult Mental Health Ward,0,1,311,334,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,00-17,2,Other ethnic groups,4,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,1,34,34,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Other ethnic groups,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,5,213,206,0
AT1,AT1: Anytown ICB_1,NA,NA,18-24,2,White,5,Independent,Not formally detained,No,Adult Mental Health Ward,NA,1,327,328,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,5,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,5,173,165,0
AT24,AT24: Anytown ICB_24,AT1,AT1: Anytown ICB_1,25-64,1,White,3,NHS,Formally detained,No,Adult Mental Health Ward,1,1,178,178,0
AT32,AT32: Anytown ICB_32,AT1,AT1: Anytown ICB_1,25-64,1,White,4,NHS,Formally detained,Yes,Adult Mental Health Ward,1,1,46,42,0
AT4,AT4: Anytown ICB_4,AT1,AT1: Anytown ICB_1,25-64,2,White,1,NHS,Formally detained,No,Adult Mental Health Ward,1,1,70,50,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Mixed,2,NHS,Formally detained,Yes,Adult Mental Health Ward,0,1,7,7,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,Mixed,5,NHS,Formally detained,No,Adult Mental Health Ward,0,2,184,189,0
AT1,AT1: Anytown ICB_1,AT9,AT9: Anytown ICB_9,18-24,1,NA,3,Independent,Not formally detained,No,NA,1,1,33,33,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,2,White,2,NHS,Not formally detained,No,Learning Disabilities Ward,0,46,6811,3874,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,NA,4,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,1,20,15,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,3,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,18,592,576,0
AT10,AT10: Anytown ICB_10,AT1,AT1: Anytown ICB_1,65+,2,Black or Black British,3,NHS,Formally detained,No,Adult Mental Health Ward,1,1,104,100,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,3,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,30,232,226,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,NA,2,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,7,7,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,2,NHS,Formally detained,Yes,Adult Mental Health Ward,0,5,214,202,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Black or Black British,3,NHS,Formally detained,No,Adult Mental Health Ward,0,2,184,190,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,NA,2,NHS,Not formally detained,Yes,NA,0,3,150,145,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Asian or Asian British,3,NHS,Formally detained,No,Adult Mental Health Ward,0,1,52,52,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,1,NHS,Formally detained,No,Adult Mental Health Ward,0,16,878,858,0
AT4,AT4: Anytown ICB_4,AT1,AT1: Anytown ICB_1,25-64,2,NA,1,NHS,Formally detained,No,Adult Mental Health Ward,1,1,40,38,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,1,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,7,33,33,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,4,NHS,Formally detained,No,Adult Mental Health Ward,0,2,75,74,0
AT1,AT1: Anytown ICB_1,AT18,AT18: Anytown ICB_18,25-64,1,Black or Black British,4,NHS,Formally detained,Yes,Adult Mental Health Ward,1,1,0.5,1,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,65+,1,White,5,NHS,Not formally detained,No,Learning Disabilities Ward,1,10,36,39,0
AT1,AT1: Anytown ICB_1,AT12,AT12: Anytown ICB_12,18-24,1,White,1,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,115,113,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,NA,2,NHS,Formally detained,No,Adult Mental Health Ward,0,1,52,50,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,5,NHS,Formally detained,No,Adult Mental Health Ward,0,34,1244,1928,12
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,1,NHS,Formally detained,Yes,Adult Mental Health Ward,0,5,425,448,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,1,NHS,Formally detained,Yes,Adult Mental Health Ward,0,4,431,448,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,Asian or Asian British,1,NHS,Formally detained,No,Adult Mental Health Ward,0,1,9,9,0
AT1,AT1: Anytown ICB_1,AT2,AT2: Anytown ICB_2,65+,2,Other ethnic groups,2,NHS,Formally detained,No,Adult Mental Health Ward,1,1,173,163,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,2,NHS,Formally detained,No,Adult Mental Health Ward,0,1,23,23,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,NA,NHS,Formally detained,No,Adult Mental Health Ward,0,3,14,13,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,Black or Black British,1,NHS,Formally detained,No,Adult Mental Health Ward,0,1,34,32,0
AT1,AT1: Anytown ICB_1,AT6,AT6: Anytown ICB_6,25-64,2,Other ethnic groups,3,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,32,33,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,Black or Black British,2,NHS,Not formally detained,No,Learning Disabilities Ward,0,8,509,423,0
AT1,AT1: Anytown ICB_1,AT4,AT4: Anytown ICB_4,18-24,1,Other ethnic groups,2,Independent,Formally detained,No,Adult Mental Health Ward,1,1,75,75,0
AT16,AT16: Anytown ICB_16,AT1,AT1: Anytown ICB_1,18-24,1,White,NA,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,6,7,63
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,White,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,4,306,296,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,3,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,2,117,117,0
AT13,AT13: Anytown ICB_13,AT1,AT1: Anytown ICB_1,25-64,1,Other ethnic groups,NA,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,28,25,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,Asian or Asian British,1,NHS,Formally detained,No,Adult Mental Health Ward,0,1,9,9,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,2,NA,4,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,1,31,30,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,2,White,5,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,8,548,514,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,2,NHS,Formally detained,Yes,Adult Mental Health Ward,0,2,117,116,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,Mixed,2,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,12,2642,2292,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,Asian or Asian British,3,NHS,Formally detained,No,Adult Mental Health Ward,0,1,56,58,0
AT1,AT1: Anytown ICB_1,AT5,AT5: Anytown ICB_5,25-64,2,Other ethnic groups,3,Independent,Not formally detained,Yes,NA,1,1,25,25,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,3,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,10,128,133,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,Mixed,3,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,13,573,583,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,White,1,NHS,Formally detained,No,Adult Mental Health Ward,0,8,1055,1006,127
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,2,NHS,Formally detained,Yes,Adult Mental Health Ward,0,1,156,157,0
AT1,AT1: Anytown ICB_1,AT9,AT9: Anytown ICB_9,25-64,2,White,5,Independent,Not formally detained,Yes,NA,1,1,64,68,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,5,NHS,Formally detained,Yes,Adult Mental Health Ward,0,1,87,87,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,00-17,1,Black or Black British,4,NHS,Formally detained,Yes,Learning Disabilities Ward,1,27,63,64,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,2,NHS,Formally detained,No,Adult Mental Health Ward,0,14,633,568,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,White,2,NHS,Formally detained,No,Adult Mental Health Ward,0,4,314,340,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,White,2,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,16,15,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,2,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,1,25,27,0
AT8,AT8: Anytown ICB_8,AT1,AT1: Anytown ICB_1,65+,2,Black or Black British,5,NHS,Not formally detained,No,Adult Mental Health Ward,1,2,97,94,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,5,NHS,Not formally detained,No,Learning Disabilities Ward,0,21,725,707,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,NA,3,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,2,54,50,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,NA,4,NHS,Formally detained,No,Adult Mental Health Ward,0,2,102,110,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,3,10,9,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,White,3,NHS,Not formally detained,No,Learning Disabilities Ward,0,4,235,219,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,NA,3,NHS,Formally detained,No,Adult Mental Health Ward,0,4,275,272,0
AT13,AT13: Anytown ICB_13,AT1,AT1: Anytown ICB_1,18-24,2,Black or Black British,NA,NHS,Formally detained,No,Adult Mental Health Ward,1,2,68,67,0
AT17,AT17: Anytown ICB_17,AT1,AT1: Anytown ICB_1,25-64,1,Other ethnic groups,2,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,10,9,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,1,White,3,NHS,Not formally detained,No,Adult Mental Health Ward,0,10,2642,3426,26
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,2,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,7,33,32,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,Asian or Asian British,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,2,42,44,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,2,Asian or Asian British,5,NHS,Not formally detained,No,Learning Disabilities Ward,0,9,60.5,61,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,White,4,NHS,Formally detained,No,Adult Mental Health Ward,0,1,46,45,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Other ethnic groups,3,NHS,Formally detained,No,Adult Mental Health Ward,0,1,26,25,0
AT13,AT13: Anytown ICB_13,AT1,AT1: Anytown ICB_1,25-64,2,Other ethnic groups,NA,NHS,Formally detained,No,Adult Mental Health Ward,1,1,21,20,0
AT6,AT6: Anytown ICB_6,AT1,AT1: Anytown ICB_1,18-24,2,White,3,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,9,37,39,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,5,NHS,Not formally detained,No,Adult Mental Health Ward,0,32,1726.5,1928,12
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,White,1,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,8,61.5,61,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,18-24,1,White,5,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,1,83,83,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,4,NHS,Formally detained,Yes,Adult Mental Health Ward,0,1,11,11,0
AT1,AT1: Anytown ICB_1,AT4,AT4: Anytown ICB_4,25-64,1,Black or Black British,2,Independent,Formally detained,No,Adult Mental Health Ward,1,1,43,42,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,25-64,2,White,5,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,29,139,131,0
AT1,AT1: Anytown ICB_1,AT5,AT5: Anytown ICB_5,25-64,2,Asian or Asian British,5,Independent,Not formally detained,No,NA,1,1,18,6,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,NA,5,NHS,Formally detained,No,Adult Mental Health Ward,0,1,116,121,26
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,4,NHS,Formally detained,No,Adult Mental Health Ward,0,7,389,418,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,1,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,10,140,140,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,NA,3,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,2,102,100,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,18-24,1,Mixed,4,NHS,Not formally detained,No,Learning Disabilities Ward,1,11,44,43,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,Black or Black British,3,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,1,59,60.5,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,NA,3,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,2,266,257,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,18-24,1,White,3,NHS,Not formally detained,Yes,Learning Disabilities Ward,1,22,77,79,0
